Interface                                Status    Vlan   Duplex   Speed     Type
GigabitEthernet 5/18                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/19                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/20                     up        318    Full     1000M     copper
GigabitEthernet 5/21                     up        318    Full     1000M     copper
GigabitEthernet 5/22                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/23                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/24                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/25                     up        318    Full     1000M     copper
GigabitEthernet 5/26                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/27                     up        318    Full     100M      copper
GigabitEthernet 5/28                     up        318    Full     1000M     copper
GigabitEthernet 5/29                     up        318    Full     1000M     copper
GigabitEthernet 5/30                     up        318    Full     1000M     copper
GigabitEthernet 5/31                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/32                     up        318    Full     1000M     copper
GigabitEthernet 5/33                     up        318    Full     1000M     copper
GigabitEthernet 5/34                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/35                     up        318    Full     1000M     copper
GigabitEthernet 5/36                     up        318    Full     1000M     copper
GigabitEthernet 5/37                     up        318    Full     10M       copper
GigabitEthernet 5/38                     up        318    Full     1000M     copper
GigabitEthernet 5/39                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/40                     up        318    Full     1000M     copper
GigabitEthernet 5/41                     up        318    Full     1000M     copper
GigabitEthernet 5/42                     up        318    Full     1000M     copper
GigabitEthernet 5/43                     up        318    Full     1000M     copper
GigabitEthernet 5/44                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/45                     up        318    Full     1000M     copper
GigabitEthernet 5/46                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/47                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/48                     up        318    Full     1000M     copper
TenGigabitEthernet 1/45                  down      1      Unknown  Unknown   fiber
TenGigabitEthernet 1/46                  down      1      Unknown  Unknown   fiber
TenGigabitEthernet 1/47                  up        1      Full     10G       fiber
TenGigabitEthernet 1/48                  up        1      Full     10G       fiber
